CID,Name,Address,Tel,Bday,SID,Job,Sex,Married
100001,김민주,서울시 광진구,423-8627,75/07/01,750701-2534218,공무원,1,0
100002,정영미,경기도 수원시,321-4568,77/02/01,770201-2834721,회사원,1,1
100003,최소영,제주도 서귀포시,624-2172,80/01/25,800125-2432712,학생,1,0
100004,박진재,강원도 속초시,543-9467,60/05/02,600502-1645394,공무원,0,1
100005,이순석,충남 보령시,254-9124,82/06/01,820601-1543714,회사원,0,0
100006,박선희,서울시 강남구,459-2187,75/04/05,801220-2487416,회사원,1,0
100007,김화연,경남 경주시,284-8147,80/01/04,790221-2482217,학생,1,0
100008,박민선,부산시 해운대구,347-9124,85/04/04,850527-2123827,학생,1,0
100009,노상수,전북 군산시,547-2984,81/01/30,741025-1441282,공무원,0,1
100010,이민석,경기도 수원시,354-2723,72/08/02,720802-1481395,회사원,0,1
100011,정영미,서울시 관악구,272-6745,74/09/21,740921-2782216,주부,1,1
